Protein	Indistinguishable.Proteins	Description
42314	group9_bins.264_contig_5619638_15		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpX (db=kegg)
42315	group9_bins.264_contig_5619642_4		rank: C;glutamine synthetase [EC:6.3.1.2] (db=kegg)
42316	group9_bins.264_contig_5619642_46		rank: C;large subunit ribosomal protein L28 (db=kegg)
42317	group9_bins.264_contig_5619642_62		rank: D;Carbon starvation protein CstA [PF02554.19] (db=pfam)
42318	group9_bins.264_contig_5619645_6		rank: C;phosphonate transport system substrate-binding protein (db=kegg)
42319	group9_bins.264_contig_5619646_28		rank: C;D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399] (db=kegg)
42320	group9_bins.264_contig_5619646_3		rank: D;SPFH domain-Band 7 family [PF13421.11];Double zinc ribbon [PF12773.12] (db=pfam)
42321	group9_bins.264_contig_5619647_2		rank: C;HSP20 family protein (db=kegg)
42322	group9_bins.264_contig_5619647_6		rank: E
42323	group9_bins.264_contig_5619651_36		rank: C;methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9] (db=kegg)
42324	group9_bins.264_contig_5619651_39		rank: D;Oxidoreductase FAD-binding domain [PF00970.29];Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B [PF10418.14];Oxidoreductase NAD-binding domain [PF00175.26] (db=pfam)
42325	group9_bins.264_contig_5619651_55		rank: C;methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2] (db=kegg)
42326	group9_bins.264_contig_5619651_57		rank: C;GTPase [EC:3.6.5.-] (db=kegg)
42327	group9_bins.264_contig_5619651_58		rank: C;methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1] (db=kegg)
42328	group9_bins.264_contig_5619651_59		rank: C;methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3] (db=kegg)
42329	group9_bins.264_contig_5619651_60		rank: C;glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit gamma (db=kegg)
42330	group9_bins.264_contig_5619651_77		rank: C;cell division protein FtsZ (db=kegg)
42331	group9_bins.264_contig_5619652_100		rank: D;Flotillin-like protein FloA [PF12127.13] (db=pfam)
42332	group9_bins.264_contig_5619652_107		rank: C;polar amino acid transport system substrate-binding protein (db=kegg)
42333	group9_bins.264_contig_5619652_41		rank: C;ATP-dependent Clp protease ATP-binding subunit ClpB (db=kegg)
42334	group9_bins.264_contig_5619652_43		rank: D;Response regulator receiver domain [PF00072.29];Transcriptional regulatory protein, C terminal [PF00486.33] (db=pfam)
42335	group9_bins.264_contig_5619652_49		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
42336	group9_bins.264_contig_5619652_89		rank: E
42337	group9_bins.264_contig_5619654_4	group9_bins.264_contig_5619664_29	rank: C;large subunit ribosomal protein L11 (db=kegg)
42338	group9_bins.264_contig_5619654_6		rank: C;large subunit ribosomal protein L10 (db=kegg)
42339	group9_bins.264_contig_5619654_7		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)
42340	group9_bins.264_contig_5619654_8		rank: C;DNA-directed RNA polymerase subunit beta [EC:2.7.7.6] (db=kegg)
42341	group9_bins.264_contig_5619656_11		rank: C;small subunit ribosomal protein S15 (db=kegg)
42342	group9_bins.264_contig_5619656_4		rank: C;diaminopimelate epimerase [EC:5.1.1.7] (db=kegg)
42343	group9_bins.264_contig_5619657_42		rank: C;[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39] (db=kegg)
42344	group9_bins.264_contig_5619657_53		rank: C;1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267] (db=kegg)
42345	group9_bins.264_contig_5619657_60		rank: C;elongation factor Ts (db=kegg)
42346	group9_bins.264_contig_5619657_61		rank: C;small subunit ribosomal protein S2 (db=kegg)
42347	group9_bins.264_contig_5619657_67		rank: C;septum site-determining protein MinD (db=kegg)
42348	group9_bins.264_contig_5619659_19		rank: C;methyl-accepting chemotaxis protein (db=kegg)
42349	group9_bins.264_contig_5619661_3		rank: D;S-layer homology domain [PF00395.25] (db=pfam)
42350	group9_bins.264_contig_5619661_61		rank: C;F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1] (db=kegg)
42351	group9_bins.264_contig_5619661_63		rank: C;F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1] (db=kegg)
42352	group9_bins.264_contig_5619664_3		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
42353	group9_bins.264_contig_5619664_30		rank: C;large subunit ribosomal protein L1 (db=kegg)
42354	group9_bins.264_contig_5619664_31		rank: C;large subunit ribosomal protein L10 (db=kegg)
42355	group9_bins.264_contig_5619664_32		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)
42356	group9_bins.264_contig_5619665_3		rank: C;penicillin-binding protein 1A [EC:2.4.99.28 3.4.16.4] (db=kegg)
42357	group9_bins.264_contig_5619666_12		rank: C;preprotein translocase subunit SecA [EC:7.4.2.8] (db=kegg)
42358	group9_bins.264_contig_5619670_14		rank: C;glycerol kinase [EC:2.7.1.30] (db=kegg)
42359	group9_bins.264_contig_5619671_10		rank: C;3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54] (db=kegg)
42360	group9_bins.264_contig_5619672_10		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
42361	group9_bins.264_contig_5619672_11		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)
42362	group9_bins.264_contig_5619672_12		rank: C;triosephosphate isomerase (TIM) [EC:5.3.1.1] (db=kegg)
42363	group9_bins.264_contig_5619672_13		rank: C;2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] (db=kegg)
42364	group9_bins.264_contig_5619672_14		rank: E
42365	group9_bins.264_contig_5619674_2		rank: C;adenosylhomocysteinase [EC:3.13.2.1] (db=kegg)
42366	group9_bins.264_contig_5619674_24		rank: C;tryptophanyl-tRNA synthetase [EC:6.1.1.2] (db=kegg)
42367	group9_bins.264_contig_5619678_10		rank: C;uncharacterized protein (db=kegg)
42368	group9_bins.264_contig_5619681_1		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)
42369	group9_bins.264_contig_5619682_101		rank: E
42370	group9_bins.264_contig_5619682_102		rank: C;glycyl-tRNA synthetase beta chain [EC:6.1.1.14] (db=kegg)
42371	group9_bins.264_contig_5619682_13		rank: C;adenylate kinase [EC:2.7.4.3] (db=kegg)
42372	group9_bins.264_contig_5619682_15		rank: C;large subunit ribosomal protein L15 (db=kegg)
42373	group9_bins.264_contig_5619682_18		rank: C;large subunit ribosomal protein L18 (db=kegg)
42374	group9_bins.264_contig_5619682_19		rank: C;large subunit ribosomal protein L6 (db=kegg)
42375	group9_bins.264_contig_5619682_22		rank: C;large subunit ribosomal protein L5 (db=kegg)
42376	group9_bins.264_contig_5619682_27		rank: C;large subunit ribosomal protein L16 (db=kegg)
42377	group9_bins.264_contig_5619682_28		rank: C;small subunit ribosomal protein S3 (db=kegg)
42378	group9_bins.264_contig_5619682_30		rank: C;small subunit ribosomal protein S19 (db=kegg)
42379	group9_bins.264_contig_5619682_31		rank: C;large subunit ribosomal protein L2 (db=kegg)
42380	group9_bins.264_contig_5619682_32		rank: C;large subunit ribosomal protein L23 (db=kegg)
42381	group9_bins.264_contig_5619682_33		rank: C;large subunit ribosomal protein L4 (db=kegg)
42382	group9_bins.264_contig_5619682_34		rank: C;large subunit ribosomal protein L3 (db=kegg)
42383	group9_bins.264_contig_5619682_36		rank: C;elongation factor Tu (db=kegg)
42384	group9_bins.264_contig_5619682_37		rank: C;elongation factor G (db=kegg)
42385	group9_bins.264_contig_5619682_39		rank: C;small subunit ribosomal protein S12 (db=kegg)
42386	group9_bins.264_contig_5619682_42		rank: C;transketolase [EC:2.2.1.1] (db=kegg)
42387	group9_bins.264_contig_5619682_54		rank: C;chemotaxis protein CheC (db=kegg)
42388	group9_bins.264_contig_5619682_55		rank: C;purine-binding chemotaxis protein CheW (db=kegg)
42389	group9_bins.264_contig_5619682_7		rank: C;large subunit ribosomal protein L17 (db=kegg)
42390	group9_bins.264_contig_5619682_8		rank: C;DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6] (db=kegg)
42391	group9_bins.264_contig_5619683_11		rank: C;argininosuccinate lyase [EC:4.3.2.1] (db=kegg)
42392	group9_bins.264_contig_5619683_12		rank: C;argininosuccinate synthase [EC:6.3.4.5] (db=kegg)
42393	group9_bins.264_contig_5619683_29		rank: C;phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2] (db=kegg)
42394	group9_bins.264_contig_5619683_30		rank: C;phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1] (db=kegg)
42395	group9_bins.264_contig_5619683_32		rank: C;5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18] (db=kegg)
42396	group9_bins.264_contig_5619684_15		rank: C;holliday junction DNA helicase RuvB [EC:5.6.2.4] (db=kegg)
42397	group9_bins.264_contig_5619684_33		rank: C;two-component system, chemotaxis family, chemotaxis protein CheV (db=kegg)
42398	group9_bins.264_contig_5619687_2		rank: C;phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121] (db=kegg)
42399	group9_bins.264_contig_5619690_5		rank: C;membrane fusion protein, multidrug efflux system (db=kegg)
42400	group9_bins.264_contig_5619691_22		rank: C;flagellin (db=kegg)
42401	group9_bins.264_contig_5619695_22		rank: D;E1-E2 ATPase [PF00122.25];Cation transporting ATPase, C-terminus [PF00689.26];haloacid dehalogenase-like hydrolase [PF00702.31];Cation transporter/ATPase, N-terminus [PF00690.31];haloacid dehalogenase-like hydrolase [PF08282.17] (db=pfam)
42402	group9_bins.264_contig_5619695_39		rank: C;malate dehydrogenase [EC:1.1.1.37] (db=kegg)
42403	group9_bins.264_contig_5619695_47		rank: C;ribose-phosphate pyrophosphokinase [EC:2.7.6.1] (db=kegg)
42404	group9_bins.264_contig_5619695_52		rank: D;F420-0:Gamma-glutamyl ligase [PF01996.21] (db=pfam)
42405	group9_bins.264_contig_5619695_55		rank: C;fumarate hydratase subunit alpha [EC:4.2.1.2] (db=kegg)
42406	group9_bins.264_contig_5619695_56		rank: C;fumarate hydratase subunit beta [EC:4.2.1.2] (db=kegg)
42407	group9_bins.264_contig_5619695_57		rank: C;succinate dehydrogenase cytochrome b subunit (db=kegg)
42408	group9_bins.264_contig_5619695_58		rank: C;succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1] (db=kegg)
42409	group9_bins.264_contig_5619695_59		rank: C;succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1] (db=kegg)
42410	group9_bins.264_contig_5619695_9		rank: C;molecular chaperone DnaK (db=kegg)
42411	group9_bins.264_contig_5619696_5		rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)
42412	group9_bins.268_contig_3174353_5		rank: D;L-fucose isomerase, C-terminal domain [PF02952.22] (db=pfam)
42413	group9_bins.268_contig_3174358_5		rank: C;phosphoglycerate kinase [EC:2.7.2.3] (db=kegg)
42414	group9_bins.268_contig_3174361_38		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)
42415	group9_bins.268_contig_3174361_41		rank: C;single-strand DNA-binding protein (db=kegg)
42416	group9_bins.268_contig_3174362_11		rank: D;Binding-protein-dependent transport system inner membrane component [PF00528.27] (db=pfam)
42417	group9_bins.268_contig_3174362_36		rank: C;small subunit ribosomal protein S15 (db=kegg)
42418	group9_bins.268_contig_3174362_43		rank: D;Carboxyl transferase domain [PF01039.27] (db=pfam)
42419	group9_bins.268_contig_3174362_46		rank: C;carboxybiotin decarboxylase [EC:7.2.4.1] (db=kegg)
42420	group9_bins.268_contig_3174362_9		rank: C;cellobiose transport system substrate-binding protein (db=kegg)
42421	group9_bins.268_contig_3174364_3		rank: C;methyl-accepting chemotaxis protein (db=kegg)
42422	group9_bins.268_contig_3174366_1		rank: D;Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.27] (db=pfam)
42423	group9_bins.268_contig_3174366_19		rank: C;trigger factor (db=kegg)
42424	group9_bins.268_contig_3174366_20		rank: C;ATP-dependent Clp protease, protease subunit [EC:3.4.21.92] (db=kegg)
42425	group9_bins.268_contig_3174366_49		rank: C;glycine hydroxymethyltransferase [EC:2.1.2.1] (db=kegg)
42426	group9_bins.268_contig_3174368_11		rank: C;rubrerythrin (db=kegg)
42427	group9_bins.268_contig_3174369_2		rank: C;threonine synthase [EC:4.2.3.1] (db=kegg)
42428	group9_bins.268_contig_3174371_11		rank: C;glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] (db=kegg)
42429	group9_bins.268_contig_3174371_16		rank: C;large subunit ribosomal protein L17 (db=kegg)
42430	group9_bins.268_contig_3174371_29		rank: C;large subunit ribosomal protein L6 (db=kegg)
42431	group9_bins.268_contig_3174372_10		rank: C;3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (db=kegg)
42432	group9_bins.268_contig_3174372_7		rank: C;electron transfer flavoprotein alpha subunit (db=kegg)
42433	group9_bins.268_contig_3174372_9		rank: C;butyryl-CoA dehydrogenase [EC:1.3.8.1] (db=kegg)
42434	group9_bins.268_contig_3174374_2		rank: C;glycerol kinase [EC:2.7.1.30] (db=kegg)
42435	group9_bins.268_contig_3174379_23		rank: C;eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1] (db=kegg)
42436	group9_bins.268_contig_3174380_2		rank: C;fructose-bisphosphate aldolase, class II [EC:4.1.2.13] (db=kegg)
42437	group9_bins.268_contig_3174381_31		rank: C;basic membrane protein A and related proteins (db=kegg)
42438	group9_bins.268_contig_3174381_44		rank: D;GGGtGRT protein [PF14057.11] (db=pfam)
42439	group9_bins.268_contig_3174398_1		rank: D;Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)
42440	group9_bins.268_contig_3174404_154		rank: C;pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-] (db=kegg)
42441	group9_bins.268_contig_3174404_155		rank: D;ABC transporter [PF00005.32];ABC transporter [PF12848.12] (db=pfam)
42442	group9_bins.268_contig_3174404_70		rank: C;cell division protein FtsZ (db=kegg)
42443	group9_bins.268_contig_3174404_87		rank: C;chaperonin GroEL [EC:5.6.1.7] (db=kegg)
42444	group9_bins.268_contig_3174404_99		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
42445	group9_bins.268_contig_3174407_6		rank: D;MFS/sugar transport protein [PF13347.11] (db=pfam)
42446	group9_bins.268_contig_3174415_1		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
42447	group9_bins.268_contig_3174436_4		rank: C;large subunit ribosomal protein L16 (db=kegg)
42448	group9_bins.268_contig_3174436_6		rank: C;large subunit ribosomal protein L22 (db=kegg)
42449	group9_bins.268_contig_3174440_21		rank: C;small subunit ribosomal protein S9 (db=kegg)
42450	group9_bins.268_contig_3174450_14		rank: C;H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit B [EC:7.1.1.11 7.2.1.2] (db=kegg)
42451	group9_bins.268_contig_3174450_6		rank: C;small subunit ribosomal protein S1 (db=kegg)
42452	group9_bins.268_contig_3174453_3		rank: C;large subunit ribosomal protein L18 (db=kegg)
42453	group9_bins.268_contig_3174453_4		rank: C;small subunit ribosomal protein S5 (db=kegg)
42454	group9_bins.268_contig_3174455_5		rank: D;SPFH domain-Band 7 family [PF13421.11] (db=pfam)
42455	group9_bins.268_contig_3174460_35		rank: C;uncharacterized protein (db=kegg)
42456	group9_bins.268_contig_3174464_16		rank: D;Periplasmic binding protein domain [PF13407.11];Periplasmic binding proteins and sugar binding domain of LacI family [PF00532.26] (db=pfam)
42457	group9_bins.268_contig_3174464_17		rank: C;galactofuranose transport system ATP-binding protein [EC:7.5.2.9] (db=kegg)
42458	group9_bins.268_contig_3174468_11		rank: C;beta-glucosidase [EC:3.2.1.21] (db=kegg)
42459	group9_bins.282_contig_846078_9		rank: C;elongation factor Tu (db=kegg)
42460	group9_bins.282_contig_846082_14		rank: C;L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3] (db=kegg)
42461	group9_bins.282_contig_846092_10		rank: C;phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49] (db=kegg)
42462	group9_bins.282_contig_846095_7		rank: C;glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] (db=kegg)
42463	group9_bins.282_contig_846103_10		rank: D;Protein of unknown function (DUF3798) [PF12683.12] (db=pfam)
42464	group9_bins.282_contig_846104_3		rank: C;pyruvate, orthophosphate dikinase [EC:2.7.9.1] (db=kegg)
42465	group9_bins.282_contig_846122_9		rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)
42466	group9_bins.282_contig_846131_7		rank: D;Oxidoreductase family, NAD-binding Rossmann fold [PF01408.27];Oxidoreductase family, C-terminal alpha/beta domain [PF02894.22];Homoserine dehydrogenase, NAD binding domain [PF03447.21];GFO/IDH/MocA C-terminal domain [PF22725.1];CoA binding domain [PF02629.24];NADP oxidoreductase coenzyme F420-dependent [PF03807.22] (db=pfam)
42467	group9_bins.282_contig_846181_22		rank: C;dihydrolipoyl dehydrogenase [EC:1.8.1.4] (db=kegg)
42468	group9_bins.282_contig_846202_3		rank: E
42469	group9_bins.282_contig_846206_7		rank: D;Bacterial extracellular solute-binding protein [PF01547.30];Bacterial extracellular solute-binding protein [PF13416.11] (db=pfam)
42470	group9_bins.282_contig_846239_4		rank: D;Elongation factor Tu GTP binding domain [PF00009.32] (db=pfam)
42471	group9_bins.282_contig_846240_2		rank: C;putative aldouronate transport system substrate-binding protein (db=kegg)
42472	group9_bins.282_contig_846275_3		rank: C;multiple sugar transport system ATP-binding protein [EC:7.5.2.-] (db=kegg)
42473	group9_bins.348_contig_6928305_2		rank: D;SPFH domain / Band 7 family [PF01145.30] (db=pfam)
42474	group9_bins.348_contig_6928309_21		rank: C;aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] (db=kegg)
42475	group9_bins.348_contig_6928317_5		rank: C;NitT/TauT family transport system substrate-binding protein (db=kegg)
42476	group9_bins.348_contig_6928317_7		rank: C;NitT/TauT family transport system permease protein (db=kegg)
42477	group9_bins.348_contig_6928320_16		rank: C;methionyl-tRNA synthetase [EC:6.1.1.10] (db=kegg)
42478	group9_bins.348_contig_6928322_4		rank: C;ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90] (db=kegg)
42479	group9_bins.348_contig_6928326_2		rank: C;UDP-glucose 4-epimerase [EC:5.1.3.2] (db=kegg)
42480	group9_bins.348_contig_6928326_6		rank: C;large subunit ribosomal protein L7/L12 (db=kegg)
42481	group9_bins.348_contig_6928327_32		rank: D;Conserved carboxylase domain [PF02436.23];HMGL-like [PF00682.24] (db=pfam)
42482	group9_bins.348_contig_6928329_29		rank: C;3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (db=kegg)
42483	group9_bins.348_contig_6928329_30		rank: C;butyryl-CoA dehydrogenase [EC:1.3.8.1] (db=kegg)
42484	group9_bins.348_contig_6928329_31		rank: C;electron transfer flavoprotein beta subunit (db=kegg)
42485	group9_bins.348_contig_6928329_32		rank: C;electron transfer flavoprotein alpha subunit (db=kegg)
42486	group9_bins.348_contig_6928332_27		rank: C;threonyl-tRNA synthetase [EC:6.1.1.3] (db=kegg)
42487	group9_bins.348_contig_6928332_53		rank: C;methyl-galactoside transport system substrate-binding protein (db=kegg)
